지역,졸업자,진학자,일반고,특성화고,특목고,자율고,기타,취업자,무직자및미상,year,특목고비율,사교육비,음주율,우울감경험률,흡연율,비만율
서울,67240,67097,49426,7983,2839,6371,478,1,142,2022,0.0422218917311124,60.5,9.9,30.2,3.3,11.4
부산,23660,23587,16152,4862,1940,419,214,1,72,2022,0.0819949281487743,45.0,12.7,24.6,3.9,13.7
대구,19986,19884,14062,3497,1222,939,164,-,102,2022,0.0611427999599719,46.9,11.4,26.6,3.2,12.2
인천,24646,24582,18817,3883,1203,539,140,2,62,2022,0.048811166112148,39.7,12.4,27.9,3.3,12.6
광주,14146,14118,11219,2126,500,228,45,-,28,2022,0.0353456807578113,41.4,15.9,29.8,7.0,12.7
대전,13200,13168,8790,1619,751,1938,70,-,32,2022,0.0568939393939393,41.1,12.5,29.5,3.9,13.0
울산,10208,10170,7761,1553,667,147,42,-,38,2022,0.065340909090909,39.3,15.4,28.4,4.9,11.8
세종,4223,4216,3558,224,221,192,21,-,7,2022,0.0523324650722235,45.8,12.0,30.6,4.7,10.4
경기,119197,118800,97957,15215,3836,1380,412,4,393,2022,0.0321820180038088,47.3,13.2,30.0,4.6,10.0
강원,12069,12024,9637,1792,500,32,63,1,44,2022,0.0414284530615626,30.7,14.1,27.3,5.8,16.2
충북,13371,13304,8767,3158,674,639,66,-,67,2022,0.050407598534141,35.0,16.8,29.0,6.1,14.9
충남,18812,18777,14149,3122,748,686,72,2,33,2022,0.039761854135658,33.6,13.4,28.8,4.2,13.6
전북,15673,15633,12571,2144,770,86,62,-,40,2022,0.049129075480125,30.3,14.9,29.5,6.3,13.2
전남,14937,14898,10479,3316,689,357,57,-,39,2022,0.0461270670147954,30.8,13.5,26.2,6.3,12.2
경북,20140,20094,14612,3141,1113,1174,54,-,46,2022,0.0552631578947368,32.4,16.5,26.7,5.4,14.5
경남,29440,29369,23356,3600,1173,891,349,-,71,2022,0.03984375,35.4,14.4,27.9,4.8,13.3
제주,6392,6357,5000,1107,193,10,47,-,35,2022,0.0301939924906132,36.4,9.9,25.8,4.1,16.7
