,졸업자,진학자,일반고,특성화고,특목고,자율고,기타,취업자,무직자및미상,year
서울,65516,65381,45929,9110,3019,6958,365,-,135,2021
부산,23317,23228,15523,4930,1897,673,205,-,89,2021
대구,20155,20079,13653,3675,1262,1385,104,-,76,2021
인천,23810,23745,17231,4420,1201,739,154,-,65,2021
광주,13672,13648,10494,2218,482,402,52,-,24,2021
대전,12850,12806,8488,1715,741,1783,79,-,44,2021
울산,9839,9810,7309,1573,759,136,33,-,29,2021
세종,3666,3657,3069,258,211,101,18,-,9,2021
경기,111865,111591,89290,15844,4062,2084,311,1,273,2021
강원,12288,12248,9686,1943,520,40,59,-,40,2021
충북,13081,13035,8319,3213,688,719,96,-,46,2021
충남,17929,17865,13171,3354,702,586,52,1,63,2021
전북,15751,15722,12445,2260,853,113,51,-,29,2021
전남,14510,14466,10069,3346,712,283,56,-,44,2021
경북,19869,19831,14568,2912,1106,1191,54,1,37,2021
경남,28331,28283,21966,3460,1268,1285,304,-,48,2021
제주,6113,6076,4633,1222,182,7,32,-,37,2021
